circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:1901431|1906299	1	1901431	1906299	2	2_2_0	20	0.167	exon	ENSRNOG00000015552,	+	NB501259:26:HYTWLBGXX:1:22105:17431:16019,NB501259:26:HYTWLBGXX:2:11208:13898:11805,
1:28362167|28375861	1	28362167	28375861	2	2_2_0	4	0.500	exon	ENSRNOG00000013323,	+	NB501259:26:HYTWLBGXX:1:12307:21669:20202,NB501259:26:HYTWLBGXX:3:11501:8868:2989,
1:56864514|56878958	1	56864514	56878958	5	3_1_1	32	0.238	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:2:22208:5067:8332,NB501259:26:HYTWLBGXX:2:23303:16003:6836,NB501259:26:HYTWLBGXX:3:12412:4931:3645,NB501259:26:HYTWLBGXX:2:13112:12625:14753,NB501259:26:HYTWLBGXX:1:22205:7532:10557,
1:56864514|56880795	1	56864514	56880795	1	1_1_0	38	0.050	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:1:11108:14746:2163,
1:56872712|56878958	1	56872712	56878958	8	7_1_0	31	0.340	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:2:22104:18570:2147,NB501259:26:HYTWLBGXX:3:12507:24407:10529,NB501259:26:HYTWLBGXX:2:21202:19716:3776,NB501259:26:HYTWLBGXX:4:21507:17452:4460,NB501259:26:HYTWLBGXX:3:22607:15261:9145,NB501259:26:HYTWLBGXX:2:11201:6695:7728,NB501259:26:HYTWLBGXX:2:11205:11981:4074,NB501259:26:HYTWLBGXX:4:13506:15577:1589,
1:56873129|56880795	1	56873129	56880795	1	1_1_0	40	0.048	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:3:11604:25600:12750,
1:65115127|65165664	1	65115127	65165664	2	2_2_0	10	0.286	intron	ENSRNOG00000055298,	-	NB501259:26:HYTWLBGXX:2:21208:3711:15491,NB501259:26:HYTWLBGXX:4:11504:14587:5773,
1:92039556|92043956	1	92039556	92043956	1	1_1_0	38	0.050	exon	ENSRNOG00000021573,	-	NB501259:26:HYTWLBGXX:3:11402:13864:8545,
1:94346562|94368553	1	94346562	94368553	1	1_1_0	4	0.333	exon	ENSRNOG00000014463,	-	NB501259:26:HYTWLBGXX:4:12410:21625:4135,
1:116697733|116701198	1	116697733	116701198	2	1_1_0	34	0.105	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:22501:10913:4345,NB501259:26:HYTWLBGXX:1:11201:26267:8312,
1:122320915|122326421	1	122320915	122326421	2	1_1_0	50	0.074	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13511:16801:19875,NB501259:26:HYTWLBGXX:3:11505:5563:5900,
1:122605870|122678378	1	122605870	122678378	26	14_14_0	28	0.650	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22306:19057:7527,NB501259:26:HYTWLBGXX:1:22309:7130:1355,NB501259:26:HYTWLBGXX:1:22310:5582:3419,NB501259:26:HYTWLBGXX:1:23104:7025:3976,NB501259:26:HYTWLBGXX:1:12309:4543:6015,NB501259:26:HYTWLBGXX:3:12411:4380:15644,NB501259:26:HYTWLBGXX:2:12303:5077:17356,NB501259:26:HYTWLBGXX:2:13109:10811:8400,NB501259:26:HYTWLBGXX:4:23611:24699:15653,NB501259:26:HYTWLBGXX:1:13312:21763:17891,NB501259:26:HYTWLBGXX:3:22610:26095:2896,NB501259:26:HYTWLBGXX:3:22612:2432:7329,NB501259:26:HYTWLBGXX:4:11502:9532:1367,NB501259:26:HYTWLBGXX:4:11611:20066:1328,NB501259:26:HYTWLBGXX:4:13603:7990:11087,NB501259:26:HYTWLBGXX:2:22102:1221:5406,NB501259:26:HYTWLBGXX:2:22103:26806:5399,NB501259:26:HYTWLBGXX:4:21503:17600:13436,NB501259:26:HYTWLBGXX:2:13201:24289:8337,NB501259:26:HYTWLBGXX:1:13310:15267:20280,NB501259:26:HYTWLBGXX:1:21305:10992:10046,NB501259:26:HYTWLBGXX:1:11302:1350:15916,NB501259:26:HYTWLBGXX:3:23510:15175:6642,NB501259:26:HYTWLBGXX:4:11506:6468:1568,NB501259:26:HYTWLBGXX:4:12510:5118:3699,NB501259:26:HYTWLBGXX:4:12611:15731:17683,
1:123959921|123970510	1	123959921	123970510	11	2_7_0	6	0.786	exon	ENSRNOG00000010853,	-	NB501259:26:HYTWLBGXX:2:22206:9227:12948,NB501259:26:HYTWLBGXX:4:21606:5205:1740,NB501259:26:HYTWLBGXX:1:21312:15760:2560,NB501259:26:HYTWLBGXX:1:23309:5549:4684,NB501259:26:HYTWLBGXX:3:13408:23470:7229,NB501259:26:HYTWLBGXX:2:22203:20786:14298,NB501259:26:HYTWLBGXX:1:12207:17889:16981,NB501259:26:HYTWLBGXX:3:22601:12530:13485,NB501259:26:HYTWLBGXX:3:23604:21024:3563,NB501259:26:HYTWLBGXX:2:11102:2322:11652,NB501259:26:HYTWLBGXX:2:11205:9818:9294,
1:128501692|128576607	1	128501692	128576607	1	1_0_1	3	0.400	exon	ENSRNOG00000023274,	-	NB501259:26:HYTWLBGXX:3:13404:20308:9704,
1:128621052|128637195	1	128621052	128637195	2	1_1_0	3	0.571	exon	ENSRNOG00000013877,	+	NB501259:26:HYTWLBGXX:1:22103:8460:2543,NB501259:26:HYTWLBGXX:2:11207:9876:2786,
1:134817263|134848903	1	134817263	134848903	3	3_2_0	6	0.500	exon	ENSRNOG00000012716,	-	NB501259:26:HYTWLBGXX:2:21310:18498:20113,NB501259:26:HYTWLBGXX:4:13410:11621:9707,NB501259:26:HYTWLBGXX:4:23610:19681:11819,
1:144154619|144177718	1	144154619	144177718	2	2_2_0	14	0.222	exon	ENSRNOG00000019776,	+	NB501259:26:HYTWLBGXX:1:23110:23486:10453,NB501259:26:HYTWLBGXX:2:22210:4655:9379,
