circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:15488392|15494771	1	15488392	15494771	1	1_1_0	2	0.500	exon	ENSRNOG00000031700,	+	NB501259:25:HYMKWBGXX:4:13509:12479:8973,
1:15809312|15815385	1	15809312	15815385	1	1_1_0	29	0.065	exon	ENSRNOG00000058050,	+	NB501259:25:HYMKWBGXX:1:21201:2399:10492,
1:21142145|21191938	1	21142145	21191938	2	1_1_1	1	0.800	intron	ENSRNOG00000013202,	+	NB501259:25:HYMKWBGXX:4:23606:14738:11972,NB501259:25:HYMKWBGXX:4:22501:14337:11811,
1:28362167|28375861	1	28362167	28375861	1	1_1_0	0	1	exon	ENSRNOG00000013323,	+	NB501259:25:HYMKWBGXX:1:22112:8186:15634,
1:29322017|29369105	1	29322017	29369105	1	1_1_0	8	0.200	exon	ENSRNOG00000014004,	+	NB501259:25:HYMKWBGXX:3:22411:25059:7081,
1:36568875|36569782	1	36568875	36569782	1	1_1_0	0	1	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:12412:8333:18542,
1:45963323|45964409	1	45963323	45964409	1	1_1_0	2	0.500	intron	ENSRNOG00000017030,	+	NB501259:25:HYMKWBGXX:2:23302:21243:5718,
1:47030544|47077979	1	47030544	47077979	1	1_1_0	23	0.080	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:1:11202:6720:6472,
1:52537909|52538666	1	52537909	52538666	1	1_1_0	40	0.048	intron	ENSRNOG00000011310,	-	NB501259:25:HYMKWBGXX:4:21502:17913:17031,
1:56864514|56878958	1	56864514	56878958	3	2_1_1	13	0.316	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:2:11106:25870:11789,NB501259:25:HYMKWBGXX:2:22308:21277:16068,NB501259:25:HYMKWBGXX:4:12602:15450:2880,
1:62178032|62229342	1	62178032	62229342	1	1_1_0	0	1	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:22412:20030:7038,
1:116751337|116754636	1	116751337	116754636	1	1_1_0	36	0.053	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:11209:17136:16441,
1:119529091|119572205	1	119529091	119572205	2	1_1_1	7	0.364	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:23310:20953:7901,NB501259:25:HYMKWBGXX:3:12608:20089:14947,
1:122554066|122613766	1	122554066	122613766	2	2_1_1	23	0.148	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:12303:3826:19221,NB501259:25:HYMKWBGXX:2:23302:5751:10329,
