circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:1901431|1909369	1	1901431	1909369	1	1_1_0	25	0.074	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:1:11207:8307:4377,
1:4785926|4786856	1	4785926	4786856	5	3_4_0	18	0.357	exon	ENSRNOG00000014290,	-	NB501259:25:HYMKWBGXX:2:21112:21251:10309,NB501259:25:HYMKWBGXX:3:23509:4519:17722,NB501259:25:HYMKWBGXX:2:23208:7688:19588,NB501259:25:HYMKWBGXX:1:13103:11949:4278,NB501259:25:HYMKWBGXX:1:22104:24922:4589,
1:6462827|6467936	1	6462827	6467936	2	1_2_0	13	0.235	exon	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:2:12109:6178:16184,NB501259:25:HYMKWBGXX:4:13612:9596:14621,
1:7860757|7973865	1	7860757	7973865	1	1_1_0	8	0.200	exon	ENSRNOG00000010753,	-	NB501259:25:HYMKWBGXX:2:13105:12329:7970,
1:24014465|24018275	1	24014465	24018275	3	2_1_0	1	0.857	exon	ENSRNOG00000011161,	-	NB501259:25:HYMKWBGXX:3:13401:26009:9916,NB501259:25:HYMKWBGXX:3:13606:13701:14727,NB501259:25:HYMKWBGXX:2:13312:10409:7230,
1:24852533|24976789	1	24852533	24976789	1	1_1_0	2	0.500	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:1:21209:5086:5272,
1:28214732|28232735	1	28214732	28232735	2	0_2_2	0	1	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:13103:14561:16971,NB501259:25:HYMKWBGXX:3:22503:15938:6664,
1:28362167|28375861	1	28362167	28375861	3	2_2_0	10	0.375	exon	ENSRNOG00000013323,	+	NB501259:25:HYMKWBGXX:3:13503:14139:10289,NB501259:25:HYMKWBGXX:4:13506:26530:10218,NB501259:25:HYMKWBGXX:4:13507:1155:10223,
1:29322017|29331518	1	29322017	29331518	1	1_1_0	15	0.118	exon	ENSRNOG00000014004,	+	NB501259:25:HYMKWBGXX:2:12209:10164:8816,
1:39876532|39880408	1	39876532	39880408	3	3_1_1	4	0.600	intron	ENSRNOG00000016368,	+	NB501259:25:HYMKWBGXX:2:12212:16492:19701,NB501259:25:HYMKWBGXX:4:13511:9013:11907,NB501259:25:HYMKWBGXX:4:12403:25427:9380,
1:43507131|43508768	1	43507131	43508768	1	1_1_0	31	0.061	exon	ENSRNOG00000018191,	+	NB501259:25:HYMKWBGXX:3:12612:18401:5006,
1:53777350|53799681	1	53777350	53799681	1	1_1_0	28	0.067	intron	ENSRNOG00000023753,	-	NB501259:25:HYMKWBGXX:1:21205:4553:9096,
1:56859784|56878958	1	56859784	56878958	3	2_2_0	5	0.545	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:2:21108:22477:11566,NB501259:25:HYMKWBGXX:3:22408:9003:2612,NB501259:25:HYMKWBGXX:1:12304:18275:8649,
1:56864514|56878958	1	56864514	56878958	3	2_1_1	16	0.273	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:3:13606:26154:1912,NB501259:25:HYMKWBGXX:2:12301:12489:15124,NB501259:25:HYMKWBGXX:1:21107:9924:10933,
1:65115127|65166133	1	65115127	65166133	3	2_2_0	7	0.462	intron	ENSRNOG00000055298,	-	NB501259:25:HYMKWBGXX:1:12303:1588:18094,NB501259:25:HYMKWBGXX:1:22206:16296:1076,NB501259:25:HYMKWBGXX:3:23503:8419:8593,
1:71182993|71190480	1	71182993	71190480	1	1_1_0	2	0.500	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:12411:5308:13266,
1:94275760|94277735	1	94275760	94277735	2	1_1_0	1	0.800	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:21612:13571:9746,NB501259:25:HYMKWBGXX:2:23102:12365:10861,
1:99510577|99533851	1	99510577	99533851	2	2_1_0	4	0.500	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:21604:19459:9047,NB501259:25:HYMKWBGXX:3:21602:2192:18104,
1:101028250|101029473	1	101028250	101029473	2	1_2_0	3	0.571	exon	ENSRNOG00000059408,	-	NB501259:25:HYMKWBGXX:1:11208:6819:12084,NB501259:25:HYMKWBGXX:4:11603:22920:7886,
1:104785950|104821976	1	104785950	104821976	2	2_2_0	6	0.400	exon	ENSRNOG00000014530,	+	NB501259:25:HYMKWBGXX:3:13601:26590:14888,NB501259:25:HYMKWBGXX:3:13602:1287:14886,
1:116643750|116660509	1	116643750	116660509	1	1_1_0	82	0.024	exon	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:3:11401:22846:6788,
1:120895187|120955517	1	120895187	120955517	2	2_1_0	32	0.111	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:12408:14546:4105,NB501259:25:HYMKWBGXX:2:12203:13706:13407,
1:122554066|122613766	1	122554066	122613766	1	1_0_1	42	0.045	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:13511:14647:8237,
