circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:6477617|6477965	1	6477617	6477965	1	1_1_0	11	0.154	intron	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:2:11111:3327:13169,
1:20022792|20064171	1	20022792	20064171	2	2_1_0	3	0.571	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:2:13302:18267:17452,NB501259:25:HYMKWBGXX:3:22607:9307:15857,
1:44421673|44425082	1	44421673	44425082	1	1_1_0	9	0.182	exon	ENSRNOG00000016728,	+	NB501259:25:HYMKWBGXX:3:23407:8789:9982,
1:56864514|56878958	1	56864514	56878958	4	2_1_2	22	0.267	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:3:22602:17735:5263,NB501259:25:HYMKWBGXX:2:12108:23151:9952,NB501259:25:HYMKWBGXX:4:22512:11855:19023,NB501259:25:HYMKWBGXX:1:13302:16946:7847,
1:62315865|62374657	1	62315865	62374657	1	1_1_0	21	0.087	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:23501:3487:19755,
1:80443035|80446422	1	80443035	80446422	2	1_1_0	9	0.308	exon	ENSRNOG00000017692,	-	NB501259:25:HYMKWBGXX:3:23602:26212:18866,NB501259:25:HYMKWBGXX:1:22102:22518:1658,
1:114562502|114599418	1	114562502	114599418	1	1_1_0	8	0.200	exon	ENSRNOG00000013718,	+	NB501259:25:HYMKWBGXX:4:23511:9536:2713,
1:116643750|116660509	1	116643750	116660509	2	2_2_0	93	0.041	exon	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:3:23403:14704:12012,NB501259:25:HYMKWBGXX:1:13306:2830:10789,
1:118490819|118592627	1	118490819	118592627	19	15_1_0	17	0.691	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:21110:8055:20351,NB501259:25:HYMKWBGXX:2:22110:8008:17600,NB501259:25:HYMKWBGXX:4:11609:13084:16994,NB501259:25:HYMKWBGXX:2:11208:10898:14744,NB501259:25:HYMKWBGXX:2:11312:21995:16752,NB501259:25:HYMKWBGXX:3:23605:24312:15466,NB501259:25:HYMKWBGXX:4:13401:4421:5718,NB501259:25:HYMKWBGXX:4:13511:4034:15831,NB501259:25:HYMKWBGXX:4:13607:9080:13510,NB501259:25:HYMKWBGXX:4:21607:25578:7450,NB501259:25:HYMKWBGXX:4:22410:16069:1382,NB501259:25:HYMKWBGXX:1:22308:23573:9428,NB501259:25:HYMKWBGXX:2:22303:7351:19357,NB501259:25:HYMKWBGXX:2:23108:7360:15801,NB501259:25:HYMKWBGXX:2:23308:5212:7805,NB501259:25:HYMKWBGXX:3:21611:1629:7523,NB501259:25:HYMKWBGXX:2:13110:12994:15829,NB501259:25:HYMKWBGXX:2:13210:21722:13124,NB501259:25:HYMKWBGXX:1:11309:17636:19106,
1:119576482|119576905	1	119576482	119576905	1	1_1_0	3	0.400	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:4:22505:11965:13306,
1:120895187|120955517	1	120895187	120955517	3	1_0_1	30	0.167	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:22608:5618:7755,NB501259:25:HYMKWBGXX:2:12303:4249:13211,NB501259:25:HYMKWBGXX:3:12610:5737:14357,
1:120918805|120955517	1	120918805	120955517	1	1_1_0	31	0.061	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:21106:12572:2048,
1:122409656|122417464	1	122409656	122417464	3	3_1_0	20	0.231	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:12505:14158:2329,NB501259:25:HYMKWBGXX:2:11212:7731:14023,NB501259:25:HYMKWBGXX:4:21401:13750:17004,
1:122605161|122613766	1	122605161	122613766	1	1_1_0	24	0.077	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:12401:26752:1763,
1:122605161|122688926	1	122605161	122688926	1	1_1_0	5	0.286	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:11411:12422:6282,
1:122605870|122678378	1	122605870	122678378	32	22_22_0	25	0.719	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:11407:26677:13831,NB501259:25:HYMKWBGXX:2:11312:19372:3305,NB501259:25:HYMKWBGXX:3:23403:9583:10266,NB501259:25:HYMKWBGXX:1:22102:3876:12553,NB501259:25:HYMKWBGXX:4:23603:26584:4510,NB501259:25:HYMKWBGXX:4:13409:25833:14038,NB501259:25:HYMKWBGXX:4:21603:5347:3493,NB501259:25:HYMKWBGXX:1:12207:8325:12742,NB501259:25:HYMKWBGXX:1:13203:13734:15062,NB501259:25:HYMKWBGXX:1:13309:7737:15713,NB501259:25:HYMKWBGXX:2:22305:14295:13068,NB501259:25:HYMKWBGXX:2:22309:12502:5395,NB501259:25:HYMKWBGXX:2:23308:6995:4979,NB501259:25:HYMKWBGXX:2:12308:14152:15401,NB501259:25:HYMKWBGXX:2:13204:13336:2261,NB501259:25:HYMKWBGXX:2:13303:19627:8516,NB501259:25:HYMKWBGXX:3:12401:6125:17166,NB501259:25:HYMKWBGXX:3:13501:19230:4977,NB501259:25:HYMKWBGXX:2:22111:5925:7645,NB501259:25:HYMKWBGXX:4:11507:7591:13883,NB501259:25:HYMKWBGXX:3:23511:6459:17591,NB501259:25:HYMKWBGXX:1:21110:3458:13642,NB501259:25:HYMKWBGXX:1:21210:14477:11729,NB501259:25:HYMKWBGXX:4:23604:1263:4520,NB501259:25:HYMKWBGXX:4:23605:7460:1605,NB501259:25:HYMKWBGXX:4:21504:21560:3687,NB501259:25:HYMKWBGXX:1:22301:6591:15472,NB501259:25:HYMKWBGXX:1:22310:8100:1331,NB501259:25:HYMKWBGXX:2:22305:17782:6961,NB501259:25:HYMKWBGXX:2:23101:26849:11832,NB501259:25:HYMKWBGXX:3:21507:17925:10097,NB501259:25:HYMKWBGXX:3:12408:24862:5302,
