circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:41811609|41840607	1	41811609	41840607	9	4_4_0	15	0.545	intron	ENSRNOG00000018960,	-	NB501259:26:HYTWLBGXX:4:13407:18253:9285,NB501259:26:HYTWLBGXX:3:23412:24855:8208,NB501259:26:HYTWLBGXX:4:21503:10664:19968,NB501259:26:HYTWLBGXX:1:21210:17752:5411,NB501259:26:HYTWLBGXX:3:21506:24044:18014,NB501259:26:HYTWLBGXX:1:13203:20420:14209,NB501259:26:HYTWLBGXX:4:22506:12889:10840,NB501259:26:HYTWLBGXX:4:22512:23727:8389,NB501259:26:HYTWLBGXX:4:22609:20094:18818,
1:56872712|56880795	1	56872712	56880795	3	3_1_0	20	0.231	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:2:11107:7643:16936,NB501259:26:HYTWLBGXX:2:12311:10117:4389,NB501259:26:HYTWLBGXX:4:23508:18037:20216,
1:65115127|65166133	1	65115127	65166133	1	1_1_0	2	0.500	intron	ENSRNOG00000055298,	-	NB501259:26:HYTWLBGXX:4:13601:7016:13435,
1:73860063|73867801	1	73860063	73867801	2	2_2_0	10	0.286	exon	ENSRNOG00000027733,	+	NB501259:26:HYTWLBGXX:3:13512:19142:13451,NB501259:26:HYTWLBGXX:2:11102:19850:6836,
1:104792188|104821976	1	104792188	104821976	12	7_9_0	0	1	exon	ENSRNOG00000014530,	+	NB501259:26:HYTWLBGXX:3:13412:11772:5792,NB501259:26:HYTWLBGXX:2:21204:14686:17096,NB501259:26:HYTWLBGXX:4:13405:25812:8321,NB501259:26:HYTWLBGXX:4:11412:11849:17487,NB501259:26:HYTWLBGXX:2:23111:18187:2582,NB501259:26:HYTWLBGXX:2:12101:22030:14438,NB501259:26:HYTWLBGXX:1:21301:17197:13941,NB501259:26:HYTWLBGXX:1:22101:18051:9510,NB501259:26:HYTWLBGXX:3:21506:9032:17296,NB501259:26:HYTWLBGXX:4:23411:24649:7345,NB501259:26:HYTWLBGXX:3:23503:22119:18640,NB501259:26:HYTWLBGXX:4:23604:19058:12043,
1:122613645|122680102	1	122613645	122680102	7	3_0_3	6	0.700	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:21112:26422:4379,NB501259:26:HYTWLBGXX:3:12505:12726:9612,NB501259:26:HYTWLBGXX:2:23203:16323:12006,NB501259:26:HYTWLBGXX:1:22305:22417:17745,NB501259:26:HYTWLBGXX:1:23205:3669:17577,NB501259:26:HYTWLBGXX:1:22108:24925:3119,NB501259:26:HYTWLBGXX:1:13206:17528:10102,
1:185233419|185234547	1	185233419	185234547	6	3_2_0	23	0.343	exon	ENSRNOG00000020479,	+	NB501259:26:HYTWLBGXX:2:12310:5084:18865,NB501259:26:HYTWLBGXX:1:12106:20481:13597,NB501259:26:HYTWLBGXX:2:22306:11324:8768,NB501259:26:HYTWLBGXX:1:23309:12669:13495,NB501259:26:HYTWLBGXX:1:12301:17731:11750,NB501259:26:HYTWLBGXX:1:11101:11441:6960,
1:192952650|192955267	1	192952650	192955267	4	1_2_0	31	0.205	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:1:12206:6587:6363,NB501259:26:HYTWLBGXX:1:13105:20332:14480,NB501259:26:HYTWLBGXX:1:13108:5664:15268,NB501259:26:HYTWLBGXX:3:22404:4515:1508,
1:194853235|194917768	1	194853235	194917768	9	2_4_1	7	0.720	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13407:6757:9783,NB501259:26:HYTWLBGXX:3:13603:1464:11019,NB501259:26:HYTWLBGXX:2:21207:21894:15889,NB501259:26:HYTWLBGXX:4:12503:12149:3495,NB501259:26:HYTWLBGXX:3:22608:9133:19454,NB501259:26:HYTWLBGXX:3:23404:21443:19526,NB501259:26:HYTWLBGXX:2:12309:2274:13913,NB501259:26:HYTWLBGXX:2:23111:17270:8178,NB501259:26:HYTWLBGXX:1:23207:8852:6084,
1:194855422|194917768	1	194855422	194917768	3	2_2_0	10	0.375	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12409:22504:12541,NB501259:26:HYTWLBGXX:2:22306:23145:3504,NB501259:26:HYTWLBGXX:4:23507:2335:6962,
1:194864350|194917768	1	194864350	194917768	4	3_3_0	14	0.364	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:11403:10794:4197,NB501259:26:HYTWLBGXX:4:11411:2575:10778,NB501259:26:HYTWLBGXX:4:11502:22547:3905,NB501259:26:HYTWLBGXX:4:11607:25681:19566,
