circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:1901431|1906299	1	1901431	1906299	1	1_1_0	66	0.029	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:4:11508:26173:10193,
1:3890868|3943683	1	3890868	3943683	2	2_2_0	40	0.091	exon	ENSRNOG00000013351,	-	NB501259:25:HYMKWBGXX:4:13510:20018:7268,NB501259:25:HYMKWBGXX:1:12211:5417:16924,
1:6534185|6546490	1	6534185	6546490	1	1_1_0	80	0.024	exon	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:2:11101:6270:5224,
1:6534185|6601608	1	6534185	6601608	1	1_1_0	70	0.028	exon	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:4:22403:18530:7951,
1:16477969|16530121	1	16477969	16530121	1	1_1_0	112	0.018	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:2:21210:15742:3527,
1:25216049|25284394	1	25216049	25284394	2	1_1_0	15	0.211	exon	ENSRNOG00000012122,	+	NB501259:25:HYMKWBGXX:3:22611:17618:3106,NB501259:25:HYMKWBGXX:4:22408:8671:15057,
1:27476375|27562055	1	27476375	27562055	1	1_1_0	178	0.011	exon	ENSRNOG00000029608,	+	NB501259:25:HYMKWBGXX:1:23107:19007:9900,
1:28362167|28375861	1	28362167	28375861	3	2_2_0	12	0.333	exon	ENSRNOG00000013323,	+	NB501259:25:HYMKWBGXX:2:21111:7593:11532,NB501259:25:HYMKWBGXX:1:11302:9892:16061,NB501259:25:HYMKWBGXX:4:21404:14132:15172,
1:28386779|28411682	1	28386779	28411682	2	1_1_0	6	0.400	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:22610:22567:19308,NB501259:25:HYMKWBGXX:1:23104:25250:10922,
1:52385764|52387225	1	52385764	52387225	1	1_1_0	90	0.022	intron	ENSRNOG00000011310,	-	NB501259:25:HYMKWBGXX:1:22112:22569:11564,
1:56864514|56880795	1	56864514	56880795	7	1_1_5	68	0.171	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:3:12511:24140:17969,NB501259:25:HYMKWBGXX:4:22604:4731:11720,NB501259:25:HYMKWBGXX:2:12309:8521:4049,NB501259:25:HYMKWBGXX:4:12402:18754:17823,NB501259:25:HYMKWBGXX:4:21504:10752:7245,NB501259:25:HYMKWBGXX:1:12306:9046:8903,NB501259:25:HYMKWBGXX:3:21609:16054:4589,
1:56927722|56939897	1	56927722	56939897	1	1_1_0	2	0.500	exon	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:2:11110:9234:8541,
1:65115127|65166133	1	65115127	65166133	5	2_5_0	13	0.435	intron	ENSRNOG00000055298,	-	NB501259:25:HYMKWBGXX:1:11209:12334:19686,NB501259:25:HYMKWBGXX:3:23512:24526:18498,NB501259:25:HYMKWBGXX:2:22112:24836:13361,NB501259:25:HYMKWBGXX:2:22309:16969:1956,NB501259:25:HYMKWBGXX:4:13612:8453:13693,
1:65850468|65852263	1	65850468	65852263	3	3_3_0	1	0.857	intron	ENSRNOG00000045583,	+	NB501259:25:HYMKWBGXX:2:12104:25415:3096,NB501259:25:HYMKWBGXX:4:12407:3453:7489,NB501259:25:HYMKWBGXX:3:21508:24961:8135,
1:80118887|80119561	1	80118887	80119561	2	2_1_0	9	0.308	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:2:21112:10678:1942,NB501259:25:HYMKWBGXX:1:21311:20271:8401,
1:90072633|90073099	1	90072633	90073099	1	1_1_0	43	0.044	intron	ENSRNOG00000023150,	-	NB501259:25:HYMKWBGXX:4:22510:15177:8305,
1:91058508|91069789	1	91058508	91069789	2	1_2_0	3	0.571	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:11601:8800:18827,NB501259:25:HYMKWBGXX:4:11511:5050:8235,
1:92003093|92013005	1	92003093	92013005	1	1_1_0	19	0.095	intron	ENSRNOG00000021573,	+	NB501259:25:HYMKWBGXX:2:21209:2202:13960,
1:99510577|99533851	1	99510577	99533851	3	3_3_0	10	0.375	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:11503:18027:3365,NB501259:25:HYMKWBGXX:3:13607:12211:9136,NB501259:25:HYMKWBGXX:3:21507:7784:17502,
1:105630666|105794215	1	105630666	105794215	1	1_1_0	5	0.286	exon	ENSRNOG00000015675,	+	NB501259:25:HYMKWBGXX:2:22112:21091:19731,
1:116596378|116610544	1	116596378	116610544	1	1_1_0	83	0.024	intron	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:2:12105:22992:15946,
1:116721462|116753295	1	116721462	116753295	1	1_1_0	13	0.133	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:11412:24211:13823,
1:118490819|118592627	1	118490819	118592627	23	18_1_0	34	0.575	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:13503:24971:16583,NB501259:25:HYMKWBGXX:1:11312:18799:7370,NB501259:25:HYMKWBGXX:4:22506:25195:15039,NB501259:25:HYMKWBGXX:4:23408:14169:9731,NB501259:25:HYMKWBGXX:4:23504:11337:9642,NB501259:25:HYMKWBGXX:3:22505:1457:15038,NB501259:25:HYMKWBGXX:3:22508:13207:12836,NB501259:25:HYMKWBGXX:2:11112:15650:16315,NB501259:25:HYMKWBGXX:2:11205:8618:11694,NB501259:25:HYMKWBGXX:3:11506:22664:8926,NB501259:25:HYMKWBGXX:2:12306:19581:3012,NB501259:25:HYMKWBGXX:1:22209:18749:10960,NB501259:25:HYMKWBGXX:1:22304:19319:14035,NB501259:25:HYMKWBGXX:1:21303:3560:16729,NB501259:25:HYMKWBGXX:4:13512:16009:14837,NB501259:25:HYMKWBGXX:4:11507:2224:4890,NB501259:25:HYMKWBGXX:4:12405:5731:9541,NB501259:25:HYMKWBGXX:4:13612:12074:14098,NB501259:25:HYMKWBGXX:4:21505:13875:13863,NB501259:25:HYMKWBGXX:4:22412:23486:7401,NB501259:25:HYMKWBGXX:4:22412:5829:19597,NB501259:25:HYMKWBGXX:4:22504:25045:18410,NB501259:25:HYMKWBGXX:3:13611:23671:9087,
1:120860173|120955517	1	120860173	120955517	11	8_5_5	68	0.244	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:12205:10417:18791,NB501259:25:HYMKWBGXX:4:22611:7100:1580,NB501259:25:HYMKWBGXX:3:23508:25303:16178,NB501259:25:HYMKWBGXX:3:11409:20266:7495,NB501259:25:HYMKWBGXX:2:12301:20339:18130,NB501259:25:HYMKWBGXX:4:13403:11128:7971,NB501259:25:HYMKWBGXX:4:11608:22227:5825,NB501259:25:HYMKWBGXX:4:21507:22213:16254,NB501259:25:HYMKWBGXX:3:12611:10056:4657,NB501259:25:HYMKWBGXX:3:23404:3056:11520,NB501259:25:HYMKWBGXX:2:13110:26466:18360,
1:120895187|120951785	1	120895187	120951785	2	2_1_0	57	0.066	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:21303:12990:17061,NB501259:25:HYMKWBGXX:4:12506:15227:4958,
