circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:1901431|1906299	1	1901431	1906299	2	1_1_0	32	0.111	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:2:21210:1359:4449,NB501259:25:HYMKWBGXX:2:21211:26734:4439,
1:1912790|1921741	1	1912790	1921741	2	2_2_0	26	0.133	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:4:22609:3059:4871,NB501259:25:HYMKWBGXX:4:23401:18150:15090,
1:13262070|13268495	1	13262070	13268495	1	1_1_0	11	0.154	exon	ENSRNOG00000059224,	+	NB501259:25:HYMKWBGXX:2:23210:21504:10279,
1:15644058|15647384	1	15644058	15647384	1	1_1_0	8	0.200	intron	ENSRNOG00000012701,	-	NB501259:25:HYMKWBGXX:2:22211:6734:1727,
1:21987865|21998923	1	21987865	21998923	2	2_1_0	0	1	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:23508:8374:5701,NB501259:25:HYMKWBGXX:1:22307:1505:5763,
1:29249555|29295801	1	29249555	29295801	1	1_1_0	13	0.133	exon	ENSRNOG00000014004,	+	NB501259:25:HYMKWBGXX:3:23408:6415:11109,
1:41868566|41871520	1	41868566	41871520	1	1_1_0	53	0.036	exon	ENSRNOG00000018960,	-	NB501259:25:HYMKWBGXX:4:13511:6528:4487,
1:56864514|56880795	1	56864514	56880795	4	3_1_0	51	0.136	intron	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:2:23302:25951:10689,NB501259:25:HYMKWBGXX:3:22505:8776:9874,NB501259:25:HYMKWBGXX:3:12612:18731:5591,NB501259:25:HYMKWBGXX:2:21201:10644:8357,
1:64417870|64426658	1	64417870	64426658	3	3_2_0	17	0.261	exon	ENSRNOG00000054371,	-	NB501259:25:HYMKWBGXX:2:13203:18110:12321,NB501259:25:HYMKWBGXX:4:22410:13598:3683,NB501259:25:HYMKWBGXX:2:13209:3863:15774,
1:65115127|65166133	1	65115127	65166133	2	1_2_0	9	0.308	intron	ENSRNOG00000055298,	-	NB501259:25:HYMKWBGXX:1:23308:19845:18644,NB501259:25:HYMKWBGXX:3:12506:3725:17490,
1:71302327|71313615	1	71302327	71313615	1	1_1_0	0	1	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:13412:6773:3211,
1:84542396|84686149	1	84542396	84686149	1	1_1_0	1	0.667	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:22510:12775:4614,
1:113204014|113265447	1	113204014	113265447	1	1_1_0	247	0.008	intron	ENSRNOG00000021507,	+	NB501259:25:HYMKWBGXX:4:12503:13609:6620,
1:116604549|116660509	1	116604549	116660509	1	1_1_0	56	0.034	exon	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:3:23603:9937:18287,
1:116708871|116744282	1	116708871	116744282	1	1_1_0	32	0.059	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:23610:14688:17378,
1:116751337|116752802	1	116751337	116752802	1	1_1_0	110	0.018	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:11308:7666:11691,
1:118353683|118387646	1	118353683	118387646	1	1_1_0	39	0.049	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:21208:16405:5367,
1:118353730|118387646	1	118353730	118387646	2	2_2_0	81	0.047	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:13405:6178:2576,NB501259:25:HYMKWBGXX:2:13111:4800:12489,
1:118490819|118592627	1	118490819	118592627	17	16_1_0	18	0.654	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:22409:1800:6316,NB501259:25:HYMKWBGXX:4:12411:20483:16340,NB501259:25:HYMKWBGXX:3:21401:17114:10889,NB501259:25:HYMKWBGXX:1:21201:10785:16284,NB501259:25:HYMKWBGXX:1:21206:17580:19951,NB501259:25:HYMKWBGXX:1:21309:17885:13361,NB501259:25:HYMKWBGXX:1:12201:4860:15202,NB501259:25:HYMKWBGXX:3:23503:25750:6214,NB501259:25:HYMKWBGXX:4:23406:23227:12177,NB501259:25:HYMKWBGXX:4:23408:15964:13936,NB501259:25:HYMKWBGXX:3:12508:11347:3830,NB501259:25:HYMKWBGXX:3:11502:10345:19085,NB501259:25:HYMKWBGXX:4:13605:1030:15916,NB501259:25:HYMKWBGXX:2:11103:16022:3199,NB501259:25:HYMKWBGXX:2:12310:3590:18977,NB501259:25:HYMKWBGXX:2:13205:19129:2618,NB501259:25:HYMKWBGXX:1:23208:25367:10076,
1:120860173|121017638	1	120860173	121017638	1	1_1_0	48	0.040	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:12412:8010:9490,
1:120895187|120951785	1	120895187	120951785	1	1_1_0	44	0.043	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:23512:14101:18282,
1:122409656|122417464	1	122409656	122417464	1	1_1_0	19	0.095	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:12604:19662:8763,
1:122554066|122613766	1	122554066	122613766	2	1_2_0	38	0.095	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:12201:8298:1513,NB501259:25:HYMKWBGXX:2:12207:10892:7600,
