circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:27936932|27937132	1	27936932	27937132	2	1_1_0	106	0.036	exon	ENSRNOG00000029608,	+	NB501259:26:HYTWLBGXX:1:12201:8803:4280,NB501259:26:HYTWLBGXX:2:13302:6061:20375,
1:45923228|45924097	1	45923228	45924097	1	1_1_0	8	0.200	intron	ENSRNOG00000017030,	+	NB501259:26:HYTWLBGXX:1:11104:11323:12385,
1:52373254|52373911	1	52373254	52373911	1	1_1_0	4	0.333	intron	ENSRNOG00000011310,	+	NB501259:26:HYTWLBGXX:1:23209:18763:15536,
1:54441038|54455843	1	54441038	54455843	3	3_2_0	6	0.500	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13404:8443:13353,NB501259:26:HYTWLBGXX:1:13310:12090:15182,NB501259:26:HYTWLBGXX:3:11501:15447:8680,
1:57742000|57752486	1	57742000	57752486	2	0_2_1	16	0.200	exon	ENSRNOG00000014434,	+	NB501259:26:HYTWLBGXX:3:12405:21398:12629,NB501259:26:HYTWLBGXX:3:21507:15489:13496,
1:59705402|59705812	1	59705402	59705812	1	1_1_0	11	0.154	intron	ENSRNOG00000039076,	+	NB501259:26:HYTWLBGXX:1:22308:13642:3842,
1:62315865|62374657	1	62315865	62374657	3	1_2_0	23	0.207	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22103:22741:10496,NB501259:26:HYTWLBGXX:1:22206:11739:3628,NB501259:26:HYTWLBGXX:3:13606:15287:4150,
1:62330221|62374657	1	62330221	62374657	1	1_1_0	25	0.074	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:21306:13304:3494,
1:62472136|62534546	1	62472136	62534546	4	1_1_0	11	0.421	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:22202:11259:2563,NB501259:26:HYTWLBGXX:1:22306:19582:10263,NB501259:26:HYTWLBGXX:4:12606:5710:1949,NB501259:26:HYTWLBGXX:3:11506:15894:1876,
1:72537392|72539371	1	72537392	72539371	1	1_1_0	5	0.286	exon	ENSRNOG00000016829,	+	NB501259:26:HYTWLBGXX:3:13606:9282:11092,
1:73747261|73747516	1	73747261	73747516	1	1_1_0	13	0.133	intron	ENSRNOG00000032699,	+	NB501259:26:HYTWLBGXX:3:12511:11384:7393,
1:80908913|80923859	1	80908913	80923859	1	1_1_0	91	0.022	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:12509:9271:11143,
1:86877572|86888952	1	86877572	86888952	1	1_1_0	3	0.400	intron	ENSRNOG00000050453,	+	NB501259:26:HYTWLBGXX:3:12509:20794:3729,
1:99510577|99533851	1	99510577	99533851	1	1_1_0	1	0.667	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:1:12311:18612:12090,
1:101028250|101029473	1	101028250	101029473	3	1_3_0	10	0.375	exon	ENSRNOG00000059408,	-	NB501259:26:HYTWLBGXX:2:13303:19776:3994,NB501259:26:HYTWLBGXX:3:13606:15118:7046,NB501259:26:HYTWLBGXX:1:13105:4477:9790,
1:104908967|104917283	1	104908967	104917283	1	1_1_0	6	0.250	exon	ENSRNOG00000014530,	+	NB501259:26:HYTWLBGXX:4:13512:9225:18971,
1:116721462|116767666	1	116721462	116767666	5	4_1_1	51	0.164	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:13310:25329:18339,NB501259:26:HYTWLBGXX:4:23410:21040:19275,NB501259:26:HYTWLBGXX:3:13601:18376:9967,NB501259:26:HYTWLBGXX:4:11404:8789:13372,NB501259:26:HYTWLBGXX:1:12208:16241:10339,
1:116751337|116752802	1	116751337	116752802	1	1_1_0	118	0.017	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:11406:23631:16617,
1:116751337|116754636	1	116751337	116754636	1	1_1_0	90	0.022	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23304:6312:16989,
1:122554066|122613766	1	122554066	122613766	10	4_7_0	53	0.274	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:23205:3729:11228,NB501259:26:HYTWLBGXX:3:21610:15276:11433,NB501259:26:HYTWLBGXX:2:12112:8543:1488,NB501259:26:HYTWLBGXX:2:21309:3153:1537,NB501259:26:HYTWLBGXX:1:12304:21689:2640,NB501259:26:HYTWLBGXX:4:12407:11043:19008,NB501259:26:HYTWLBGXX:3:21503:6374:6042,NB501259:26:HYTWLBGXX:3:21504:5288:10442,NB501259:26:HYTWLBGXX:2:11108:16124:6304,NB501259:26:HYTWLBGXX:1:21210:3401:12865,
1:122605161|122613766	1	122605161	122613766	2	2_2_0	54	0.069	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12410:19094:9911,NB501259:26:HYTWLBGXX:2:21305:12683:4849,
1:122605870|122678378	1	122605870	122678378	37	20_25_0	28	0.725	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22303:12295:3685,NB501259:26:HYTWLBGXX:1:23106:22736:6484,NB501259:26:HYTWLBGXX:4:13510:21005:20266,NB501259:26:HYTWLBGXX:4:13608:22081:16778,NB501259:26:HYTWLBGXX:4:22510:12354:9982,NB501259:26:HYTWLBGXX:3:13607:16953:3530,NB501259:26:HYTWLBGXX:3:12403:18108:8410,NB501259:26:HYTWLBGXX:3:12412:1667:6872,NB501259:26:HYTWLBGXX:4:11603:21710:19410,NB501259:26:HYTWLBGXX:4:12408:6365:8602,NB501259:26:HYTWLBGXX:3:21412:11052:17416,NB501259:26:HYTWLBGXX:3:22503:8900:11432,NB501259:26:HYTWLBGXX:2:11207:21360:1106,NB501259:26:HYTWLBGXX:2:12102:12743:16493,NB501259:26:HYTWLBGXX:2:12205:23874:15869,NB501259:26:HYTWLBGXX:3:23601:2916:16407,NB501259:26:HYTWLBGXX:3:23607:18239:17799,NB501259:26:HYTWLBGXX:4:21610:22072:4514,NB501259:26:HYTWLBGXX:2:21212:1975:15070,NB501259:26:HYTWLBGXX:1:13201:19741:13304,NB501259:26:HYTWLBGXX:1:21212:20419:17276,NB501259:26:HYTWLBGXX:2:23106:13172:5440,NB501259:26:HYTWLBGXX:2:23207:22574:14807,NB501259:26:HYTWLBGXX:1:23106:9382:2833,NB501259:26:HYTWLBGXX:1:23109:20376:15180,NB501259:26:HYTWLBGXX:4:13402:11104:8019,NB501259:26:HYTWLBGXX:4:22612:26826:6692,NB501259:26:HYTWLBGXX:4:23504:9426:18394,NB501259:26:HYTWLBGXX:4:11608:9662:14360,NB501259:26:HYTWLBGXX:2:11211:13560:6931,NB501259:26:HYTWLBGXX:4:21406:11101:9559,NB501259:26:HYTWLBGXX:4:21412:17226:11393,NB501259:26:HYTWLBGXX:2:21201:17117:10762,NB501259:26:HYTWLBGXX:2:21205:22874:15049,NB501259:26:HYTWLBGXX:2:21310:7833:14479,NB501259:26:HYTWLBGXX:1:12301:13067:13354,NB501259:26:HYTWLBGXX:1:21110:2871:17864,
1:122613645|122680102	1	122613645	122680102	7	5_1_5	36	0.280	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:13505:9807:3437,NB501259:26:HYTWLBGXX:1:11102:9286:4633,NB501259:26:HYTWLBGXX:3:23411:24714:17010,NB501259:26:HYTWLBGXX:1:22103:23959:6219,NB501259:26:HYTWLBGXX:2:22212:6886:12355,NB501259:26:HYTWLBGXX:2:23109:13828:15307,NB501259:26:HYTWLBGXX:3:23409:7895:5156,
1:123959921|123970510	1	123959921	123970510	5	2_3_0	9	0.526	exon	ENSRNOG00000010853,	-	NB501259:26:HYTWLBGXX:2:12304:11071:17924,NB501259:26:HYTWLBGXX:4:22503:1583:12431,NB501259:26:HYTWLBGXX:2:22112:6527:19039,NB501259:26:HYTWLBGXX:2:22210:9824:6681,NB501259:26:HYTWLBGXX:3:23509:3241:5651,
1:126573474|126583015	1	126573474	126583015	6	2_3_0	7	0.632	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:23501:22107:4030,NB501259:26:HYTWLBGXX:1:12205:23695:9581,NB501259:26:HYTWLBGXX:3:23503:18001:13234,NB501259:26:HYTWLBGXX:4:21404:3908:18057,NB501259:26:HYTWLBGXX:3:23410:15103:7313,NB501259:26:HYTWLBGXX:1:21106:15436:11996,
1:131448510|131452460	1	131448510	131452460	1	1_0_1	8	0.200	exon	ENSRNOG00000010308,	-	NB501259:26:HYTWLBGXX:4:23511:10169:15279,
1:134831134|134848903	1	134831134	134848903	1	1_1_0	24	0.077	exon	ENSRNOG00000012716,	-	NB501259:26:HYTWLBGXX:3:11602:11609:3512,
1:139710180|139843198	1	139710180	139843198	1	1_1_0	0	1	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12502:23471:8706,
1:144710109|144726484	1	144710109	144726484	2	2_2_0	7	0.364	exon	ENSRNOG00000032723,	+	NB501259:26:HYTWLBGXX:4:23606:19898:7804,NB501259:26:HYTWLBGXX:3:13611:3981:15479,
1:151218854|151226199	1	151218854	151226199	3	1_3_0	77	0.072	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:22308:7348:2118,NB501259:26:HYTWLBGXX:4:12512:21753:2069,NB501259:26:HYTWLBGXX:4:12503:23104:5153,
1:157470071|157490006	1	157470071	157490006	12	0_7_5	35	0.407	exon	ENSRNOG00000009891,	-	NB501259:26:HYTWLBGXX:4:22601:17083:19418,NB501259:26:HYTWLBGXX:3:12601:22160:5096,NB501259:26:HYTWLBGXX:3:13512:11122:11314,NB501259:26:HYTWLBGXX:1:11105:4295:4366,NB501259:26:HYTWLBGXX:3:21506:23462:2154,NB501259:26:HYTWLBGXX:3:11612:12375:2614,NB501259:26:HYTWLBGXX:4:11506:20229:16920,NB501259:26:HYTWLBGXX:3:23408:16462:15367,NB501259:26:HYTWLBGXX:2:12212:5669:11283,NB501259:26:HYTWLBGXX:4:21409:12523:9578,NB501259:26:HYTWLBGXX:4:21612:20396:5806,NB501259:26:HYTWLBGXX:1:21104:2715:10144,
1:161268321|161321934	1	161268321	161321934	2	2_2_0	3	0.571	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:13412:7586:9385,NB501259:26:HYTWLBGXX:4:13612:26815:11439,
1:161584392|161584931	1	161584392	161584931	1	1_1_0	3	0.400	intron	ENSRNOG00000011151,	+	NB501259:26:HYTWLBGXX:2:21308:22004:11689,
1:162639900|162649918	1	162639900	162649918	1	1_1_0	17	0.105	exon	ENSRNOG00000024194,	+	NB501259:26:HYTWLBGXX:3:21402:20564:6501,
1:185233419|185252682	1	185233419	185252682	2	1_2_0	13	0.235	exon	ENSRNOG00000020479,	+	NB501259:26:HYTWLBGXX:4:23405:6818:13077,NB501259:26:HYTWLBGXX:1:22211:10027:15900,
1:185267562|185267832	1	185267562	185267832	2	2_1_0	8	0.333	exon	ENSRNOG00000020479,	+	NB501259:26:HYTWLBGXX:1:12105:2079:20316,NB501259:26:HYTWLBGXX:3:22601:18426:19376,
1:189679087|189685094	1	189679087	189685094	2	1_1_0	7	0.364	exon	ENSRNOG00000024530,	+	NB501259:26:HYTWLBGXX:4:13611:14890:19977,NB501259:26:HYTWLBGXX:2:23302:8109:13232,
1:192952650|192955267	1	192952650	192955267	9	5_6_2	46	0.281	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:1:22207:8997:19090,NB501259:26:HYTWLBGXX:3:11412:17429:10599,NB501259:26:HYTWLBGXX:3:12501:8542:9812,NB501259:26:HYTWLBGXX:1:11307:1355:11918,NB501259:26:HYTWLBGXX:1:11308:26871:11910,NB501259:26:HYTWLBGXX:3:23603:13658:1648,NB501259:26:HYTWLBGXX:4:13510:2592:15666,NB501259:26:HYTWLBGXX:4:22410:21270:20101,NB501259:26:HYTWLBGXX:2:23309:7513:11323,
1:194025767|194026183	1	194025767	194026183	2	2_1_0	8	0.333	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:12206:10062:17297,NB501259:26:HYTWLBGXX:1:13105:1457:3150,
1:194850656|194917768	1	194850656	194917768	14	1_11_0	23	0.549	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:13305:1092:17459,NB501259:26:HYTWLBGXX:4:13601:19673:7459,NB501259:26:HYTWLBGXX:4:23610:18518:16353,NB501259:26:HYTWLBGXX:3:13609:11849:10884,NB501259:26:HYTWLBGXX:2:12111:19157:14227,NB501259:26:HYTWLBGXX:2:13306:26642:17452,NB501259:26:HYTWLBGXX:4:21501:20628:3056,NB501259:26:HYTWLBGXX:4:21504:13134:9756,NB501259:26:HYTWLBGXX:2:21310:6288:12864,NB501259:26:HYTWLBGXX:2:22110:8386:13392,NB501259:26:HYTWLBGXX:1:21202:12620:4127,NB501259:26:HYTWLBGXX:1:22203:15155:13567,NB501259:26:HYTWLBGXX:2:22309:7724:2092,NB501259:26:HYTWLBGXX:2:23108:21624:4893,
1:194855422|194917768	1	194855422	194917768	1	1_1_0	26	0.071	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23108:5390:6599,
1:194866929|194917768	1	194866929	194917768	1	1_1_0	20	0.091	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11302:12302:12861,
1:194869116|194917768	1	194869116	194917768	1	1_1_0	25	0.074	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:11503:16502:5287,
1:194892470|194917768	1	194892470	194917768	1	1_1_0	23	0.080	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13608:11564:5817,
1:195665691|195805915	1	195665691	195805915	5	3_5_2	53	0.159	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22206:12010:10437,NB501259:26:HYTWLBGXX:4:11601:15237:15015,NB501259:26:HYTWLBGXX:3:22408:21000:4620,NB501259:26:HYTWLBGXX:2:13110:8934:19834,NB501259:26:HYTWLBGXX:1:13204:7328:2259,
