circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:1841452|1846589	1	1841452	1846589	2	2_2_0	5	0.444	exon	ENSRNOG00000014996,	+	NB501259:26:HYTWLBGXX:4:13607:22769:7051,NB501259:26:HYTWLBGXX:2:22201:6947:14741,
1:15913285|15925319	1	15913285	15925319	1	1_1_0	18	0.100	intron	ENSRNOG00000013436,	-	NB501259:26:HYTWLBGXX:4:23411:19559:19415,
1:21142145|21164430	1	21142145	21164430	3	1_1_0	3	0.667	exon	ENSRNOG00000013202,	+	NB501259:26:HYTWLBGXX:1:12108:6940:11582,NB501259:26:HYTWLBGXX:4:13603:16991:13579,NB501259:26:HYTWLBGXX:2:11309:15177:8809,
1:29322017|29331518	1	29322017	29331518	2	1_2_1	5	0.444	exon	ENSRNOG00000014004,	+	NB501259:26:HYTWLBGXX:3:13608:8075:14493,NB501259:26:HYTWLBGXX:1:21102:20967:2290,
1:29324463|29331518	1	29324463	29331518	1	1_1_0	5	0.286	exon	ENSRNOG00000014004,	+	NB501259:26:HYTWLBGXX:1:11112:19146:2158,
1:47129056|47130295	1	47129056	47130295	1	1_1_0	55	0.035	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:12511:10243:12232,
1:56864514|56878958	1	56864514	56878958	5	1_1_2	19	0.345	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:4:13402:18197:8705,NB501259:26:HYTWLBGXX:1:11206:16826:3209,NB501259:26:HYTWLBGXX:4:13411:7602:3458,NB501259:26:HYTWLBGXX:3:22505:19688:20204,NB501259:26:HYTWLBGXX:2:11112:12026:16876,
1:56864514|56880795	1	56864514	56880795	1	1_1_0	41	0.047	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:1:13204:6523:11799,
1:56872712|56878958	1	56872712	56878958	4	4_1_0	17	0.320	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:3:23505:11804:15870,NB501259:26:HYTWLBGXX:4:11607:7902:7509,NB501259:26:HYTWLBGXX:2:21303:1635:8971,NB501259:26:HYTWLBGXX:2:22201:17616:17565,
1:56921038|56926435	1	56921038	56926435	2	1_1_0	4	0.500	exon	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:3:12507:2017:5373,NB501259:26:HYTWLBGXX:2:13311:16973:13053,
1:92037185|92043956	1	92037185	92043956	1	1_1_0	48	0.040	exon	ENSRNOG00000021573,	-	NB501259:26:HYTWLBGXX:3:22412:24571:6589,
