circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:4223984|4244276	1	4223984	4244276	1	1_1_0	12	0.143	exon	ENSRNOG00000013351,	-	NB501259:26:HYTWLBGXX:1:23103:11990:18217,
1:19013784|19038941	1	19013784	19038941	1	1_1_0	1	0.667	exon	ENSRNOG00000011720,	+	NB501259:26:HYTWLBGXX:3:12606:20377:17037,
1:23761421|23829759	1	23761421	23829759	1	1_1_0	3	0.400	exon	ENSRNOG00000012122,	+	NB501259:26:HYTWLBGXX:4:13510:5450:5739,
1:25444532|25446157	1	25444532	25446157	1	1_1_0	23	0.080	intron	ENSRNOG00000029608,	-	NB501259:26:HYTWLBGXX:4:11504:13153:13505,
1:34692940|34784923	1	34692940	34784923	2	2_2_0	26	0.133	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:1:12107:1076:14495,NB501259:26:HYTWLBGXX:1:12108:26614:14490,
1:34709084|34759815	1	34709084	34759815	2	2_1_0	13	0.235	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:3:23406:17921:5022,NB501259:26:HYTWLBGXX:3:13412:22610:3257,
1:61116525|61286359	1	61116525	61286359	1	1_1_0	1	0.667	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:22202:15003:18360,
1:62891337|62942005	1	62891337	62942005	3	2_1_0	13	0.316	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:22609:14609:16034,NB501259:26:HYTWLBGXX:1:11211:12663:2462,NB501259:26:HYTWLBGXX:4:11511:20110:7552,
1:62891337|62946581	1	62891337	62946581	1	1_1_0	9	0.182	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:23406:21272:1388,
1:67510663|67518475	1	67510663	67518475	1	1_1_0	4	0.333	exon	ENSRNOG00000042777,	-	NB501259:26:HYTWLBGXX:1:22206:11591:12457,
1:77122583|77123204	1	77122583	77123204	1	1_0_1	0	1	exon	ENSRNOG00000015229,	+	NB501259:26:HYTWLBGXX:3:22408:8161:14986,
1:83025140|83126173	1	83025140	83126173	1	1_1_0	6	0.250	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:12201:15579:3787,
1:83076376|83169966	1	83076376	83169966	1	1_1_0	2	0.500	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:3:12405:24230:4361,
1:83181482|83250120	1	83181482	83250120	2	2_1_0	8	0.333	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:23210:22567:8061,NB501259:26:HYTWLBGXX:1:21307:20165:14767,
1:86837433|86837899	1	86837433	86837899	1	1_1_0	21	0.087	intron	ENSRNOG00000023150,	-	NB501259:26:HYTWLBGXX:3:21608:8867:18207,
1:91181205|91194491	1	91181205	91194491	2	1_2_0	1	0.800	intron	ENSRNOG00000069276,	+	NB501259:26:HYTWLBGXX:4:22506:18234:19539,NB501259:26:HYTWLBGXX:3:22411:13671:9576,
1:108637610|108663001	1	108637610	108663001	2	2_2_0	70	0.054	exon	ENSRNOG00000060599,	+	NB501259:26:HYTWLBGXX:4:12503:13831:3874,NB501259:26:HYTWLBGXX:4:22505:9225:14513,
1:110190273|110267119	1	110190273	110267119	1	1_0_1	17	0.105	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:21508:16589:11770,
1:110225909|110267119	1	110225909	110267119	1	1_1_0	16	0.111	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:23505:3010:11102,
1:110237001|110267119	1	110237001	110267119	9	6_6_2	13	0.581	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11205:13801:12642,NB501259:26:HYTWLBGXX:1:13210:8173:5440,NB501259:26:HYTWLBGXX:1:21310:23560:15308,NB501259:26:HYTWLBGXX:2:13205:1355:10437,NB501259:26:HYTWLBGXX:2:13206:26830:10430,NB501259:26:HYTWLBGXX:2:21104:9505:17065,NB501259:26:HYTWLBGXX:3:11412:15619:9601,NB501259:26:HYTWLBGXX:3:11501:19248:16278,NB501259:26:HYTWLBGXX:4:21401:9343:14371,
1:110269328|110306780	1	110269328	110306780	2	1_1_0	20	0.167	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:12110:23136:7657,NB501259:26:HYTWLBGXX:3:12609:1799:14072,
1:110321764|110465132	1	110321764	110465132	1	1_1_0	99	0.020	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:21603:8321:2542,
1:110377047|110458572	1	110377047	110458572	2	2_1_0	44	0.083	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:13504:23147:14827,NB501259:26:HYTWLBGXX:2:21308:4712:15680,
1:110377047|110465132	1	110377047	110465132	4	3_3_0	67	0.107	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11303:7516:7851,NB501259:26:HYTWLBGXX:1:13106:10365:13904,NB501259:26:HYTWLBGXX:4:11611:9679:13827,NB501259:26:HYTWLBGXX:4:23603:22171:18069,
1:110402469|110467617	1	110402469	110467617	3	2_1_0	36	0.143	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22209:4170:12662,NB501259:26:HYTWLBGXX:2:13101:18308:6737,NB501259:26:HYTWLBGXX:3:21604:1689:9192,
1:110402469|110486705	1	110402469	110486705	1	1_1_0	33	0.057	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23308:22452:3033,
1:110402469|110491913	1	110402469	110491913	1	1_1_0	37	0.051	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23110:5850:14100,
1:111208423|111237460	1	111208423	111237460	1	1_1_0	13	0.133	exon	ENSRNOG00000064120,	-	NB501259:26:HYTWLBGXX:1:11310:18863:18998,
1:112195726|112284554	1	112195726	112284554	2	1_1_0	26	0.133	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21106:20244:12596,NB501259:26:HYTWLBGXX:3:21503:15379:14958,
1:112946324|113101569	1	112946324	113101569	1	1_1_0	3	0.400	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:12102:13560:14528,
1:114296745|114448268	1	114296745	114448268	1	1_0_1	44	0.043	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:11512:8695:8969,
1:114339271|114373770	1	114339271	114373770	1	1_1_0	6	0.250	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:21302:18769:8790,
1:115534566|115643387	1	115534566	115643387	1	1_1_0	39	0.049	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11207:6594:19174,
1:115577025|115643387	1	115577025	115643387	1	1_1_0	37	0.051	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13501:6919:18628,
1:116771956|116782547	1	116771956	116782547	3	1_2_0	5	0.545	exon	ENSRNOG00000010853,	-	NB501259:26:HYTWLBGXX:1:23201:14231:13591,NB501259:26:HYTWLBGXX:3:23512:7126:1516,NB501259:26:HYTWLBGXX:3:12608:7979:6307,
1:124044021|124046370	1	124044021	124046370	1	1_1_0	0	1	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:21401:20927:14021,
1:134981269|134983501	1	134981269	134983501	3	2_3_0	12	0.333	exon	ENSRNOG00000060206,	+	NB501259:26:HYTWLBGXX:3:13605:19741:6675,NB501259:26:HYTWLBGXX:3:23411:17220:10269,NB501259:26:HYTWLBGXX:3:11609:23084:2195,
1:136209718|136224271	1	136209718	136224271	1	1_1_0	0	1	exon	ENSRNOG00000019776,	+	NB501259:26:HYTWLBGXX:2:12306:23755:8496,
1:145385284|145385531	1	145385284	145385531	1	1_1_0	8	0.200	intron	ENSRNOG00000022635,	+	NB501259:26:HYTWLBGXX:4:22405:16387:12347,
1:146698118|146719499	1	146698118	146719499	6	4_5_0	21	0.364	exon	ENSRNOG00000009891,	-	NB501259:26:HYTWLBGXX:1:11206:26030:8210,NB501259:26:HYTWLBGXX:2:23309:7221:16810,NB501259:26:HYTWLBGXX:3:11602:21573:18594,NB501259:26:HYTWLBGXX:1:11205:1585:7004,NB501259:26:HYTWLBGXX:2:21303:16433:3480,NB501259:26:HYTWLBGXX:4:22608:9223:7655,
1:146699564|146719499	1	146699564	146719499	9	3_8_5	21	0.462	exon	ENSRNOG00000009891,	-	NB501259:26:HYTWLBGXX:1:11311:6575:7274,NB501259:26:HYTWLBGXX:1:22107:9418:9862,NB501259:26:HYTWLBGXX:3:11506:3005:10549,NB501259:26:HYTWLBGXX:3:12612:16960:12500,NB501259:26:HYTWLBGXX:4:12408:9706:15790,NB501259:26:HYTWLBGXX:4:12504:14450:4965,NB501259:26:HYTWLBGXX:4:22409:13682:20219,NB501259:26:HYTWLBGXX:1:11212:8432:19160,NB501259:26:HYTWLBGXX:3:13403:11895:2586,
1:151047334|151059691	1	151047334	151059691	1	1_1_0	4	0.333	exon	ENSRNOG00000011151,	+	NB501259:26:HYTWLBGXX:1:22308:12961:11503,
1:156537152|156552321	1	156537152	156552321	1	1_1_0	13	0.133	exon	ENSRNOG00000020347,	-	NB501259:26:HYTWLBGXX:1:12305:20479:1366,
1:164016363|164020340	1	164016363	164020340	3	3_1_0	12	0.333	exon	ENSRNOG00000010752,	-	NB501259:26:HYTWLBGXX:3:23504:8518:16497,NB501259:26:HYTWLBGXX:1:13307:9900:8343,NB501259:26:HYTWLBGXX:2:21208:22257:11083,
1:166194173|166217529	1	166194173	166217529	1	1_1_0	13	0.133	exon	ENSRNOG00000026754,	+	NB501259:26:HYTWLBGXX:3:13511:7570:9065,
1:168732047|168751459	1	168732047	168751459	1	1_1_0	8	0.200	exon	ENSRNOG00000011417,	+	NB501259:26:HYTWLBGXX:2:11202:22853:2771,
1:170600689|170629470	1	170600689	170629470	1	1_1_0	10	0.167	exon	ENSRNOG00000020479,	-	NB501259:26:HYTWLBGXX:1:23311:21490:20348,
1:174298298|174304305	1	174298298	174304305	1	1_1_0	11	0.154	exon	ENSRNOG00000024530,	+	NB501259:26:HYTWLBGXX:3:13407:9510:14202,
1:177509290|177519158	1	177509290	177519158	1	1_1_0	46	0.042	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:2:12212:14051:1067,
1:177523168|177523734	1	177523168	177523734	3	3_2_0	25	0.194	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:2:11306:8164:19369,NB501259:26:HYTWLBGXX:3:12609:20902:6729,NB501259:26:HYTWLBGXX:4:21402:18451:11140,
1:177523168|177525785	1	177523168	177525785	3	2_2_0	20	0.231	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:1:11306:16117:6260,NB501259:26:HYTWLBGXX:2:23105:1734:12632,NB501259:26:HYTWLBGXX:4:22509:8777:16364,
1:182133366|182137430	1	182133366	182137430	1	1_1_0	11	0.154	exon	ENSRNOG00000050282,	+	NB501259:26:HYTWLBGXX:1:22311:6684:12567,
1:187740267|187742785	1	187740267	187742785	1	1_1_0	3	0.400	exon	ENSRNOG00000017294,	+	NB501259:26:HYTWLBGXX:3:11508:18465:6423,
1:196680997|196699758	1	196680997	196699758	1	1_1_0	6	0.250	exon	ENSRNOG00000019534,	+	NB501259:26:HYTWLBGXX:3:22610:6682:14550,
1:203086862|203088698	1	203086862	203088698	2	2_2_0	448	0.009	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:12311:3553:12805,NB501259:26:HYTWLBGXX:2:11205:1558:10234,
