circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:25661619|25661819	1	25661619	25661819	2	1_1_0	106	0.036	exon	ENSRNOG00000029608,	+	NB501259:26:HYTWLBGXX:1:12201:8803:4280,NB501259:26:HYTWLBGXX:2:13302:6061:20375,
1:45611244|45612149	1	45611244	45612149	1	1_1_0	8	0.200	intron	ENSRNOG00000017030,	+	NB501259:26:HYTWLBGXX:1:11104:11323:12385,
1:47637037|47638272	1	47637037	47638272	1	1_1_0	829	0.002	exon	ENSRNOG00000019048,	+	NB501259:26:HYTWLBGXX:3:12610:12269:3168,
1:51783151|51783808	1	51783151	51783808	1	1_1_0	4	0.333	intron	ENSRNOG00000011310,	+	NB501259:26:HYTWLBGXX:1:23209:18763:15536,
1:56713405|56723849	1	56713405	56723849	2	0_2_1	16	0.200	exon	ENSRNOG00000014434,	+	NB501259:26:HYTWLBGXX:3:12405:21398:12629,NB501259:26:HYTWLBGXX:3:21507:15489:13496,
1:58678201|58678611	1	58678201	58678611	1	1_1_0	11	0.154	intron	ENSRNOG00000039076,	+	NB501259:26:HYTWLBGXX:1:22308:13642:3842,
1:62634996|62696188	1	62634996	62696188	3	1_2_0	23	0.207	intron	ENSRNOG00000061533,	-	NB501259:26:HYTWLBGXX:1:22103:22741:10496,NB501259:26:HYTWLBGXX:1:22206:11739:3628,NB501259:26:HYTWLBGXX:3:13606:15287:4150,
1:62648752|62696188	1	62648752	62696188	1	1_1_0	25	0.074	intron	ENSRNOG00000061533,	-	NB501259:26:HYTWLBGXX:2:21306:13304:3494,
1:68985820|68987799	1	68985820	68987799	1	1_1_0	5	0.286	exon	ENSRNOG00000016829,	+	NB501259:26:HYTWLBGXX:3:13606:9282:11092,
1:70065963|70066218	1	70065963	70066218	1	1_1_0	13	0.133	intron	ENSRNOG00000032699,	+	NB501259:26:HYTWLBGXX:3:12511:11384:7393,
1:95515892|95517115	1	95515892	95517115	3	1_3_0	10	0.375	exon	ENSRNOG00000059408,	-	NB501259:26:HYTWLBGXX:2:13303:19776:3994,NB501259:26:HYTWLBGXX:1:13105:4477:9790,NB501259:26:HYTWLBGXX:3:13606:15118:7046,
1:98497158|98516914	1	98497158	98516914	2	2_2_0	1	0.800	exon	ENSRNOG00000014277,	+	NB501259:26:HYTWLBGXX:1:11302:2586:5597,NB501259:26:HYTWLBGXX:2:12311:14696:14440,
1:99289895|99298211	1	99289895	99298211	1	1_1_0	6	0.250	exon	ENSRNOG00000014530,	+	NB501259:26:HYTWLBGXX:4:13512:9225:18971,
1:110236584|110269447	1	110236584	110269447	7	6_1_1	23	0.378	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21210:17318:19316,NB501259:26:HYTWLBGXX:1:12205:26787:9832,NB501259:26:HYTWLBGXX:3:21505:5191:10909,NB501259:26:HYTWLBGXX:4:11503:15631:2798,NB501259:26:HYTWLBGXX:4:11507:7914:19439,NB501259:26:HYTWLBGXX:4:22405:10033:12933,NB501259:26:HYTWLBGXX:4:23405:11722:10313,
