circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:6746664|6747012	1	6746664	6747012	1	1_1_0	11	0.154	intron	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:2:11111:3327:13169,
1:19013784|19054942	1	19013784	19054942	2	2_1_0	3	0.571	exon	ENSRNOG00000011720,	+	NB501259:25:HYMKWBGXX:2:13302:18267:17452,NB501259:25:HYMKWBGXX:3:22607:9307:15857,
1:44107722|44111131	1	44107722	44111131	1	1_1_0	9	0.182	exon	ENSRNOG00000016728,	+	NB501259:25:HYMKWBGXX:3:23407:8789:9982,
1:62634996|62696188	1	62634996	62696188	1	1_1_0	21	0.087	intron	ENSRNOG00000061533,	-	NB501259:25:HYMKWBGXX:3:23501:3487:19755,
1:79184112|79187499	1	79184112	79187499	2	1_1_0	9	0.308	exon	ENSRNOG00000017692,	-	NB501259:25:HYMKWBGXX:1:22102:22518:1658,NB501259:25:HYMKWBGXX:3:23602:26212:18866,
1:107014534|107052873	1	107014534	107052873	1	1_1_0	8	0.200	exon	ENSRNOG00000013718,	+	NB501259:25:HYMKWBGXX:4:23511:9536:2713,
1:110123130|110139891	1	110123130	110139891	2	2_2_0	93	0.041	exon	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:1:13306:2830:10789,NB501259:25:HYMKWBGXX:3:23403:14704:12012,
1:110237001|110260519	1	110237001	110260519	1	1_1_0	23	0.080	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:13603:7705:5306,
1:110237001|110267119	1	110237001	110267119	17	16_13_4	24	0.586	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:12208:19660:6680,NB501259:25:HYMKWBGXX:1:13103:8080:17673,NB501259:25:HYMKWBGXX:1:13210:1373:3748,NB501259:25:HYMKWBGXX:1:13211:26738:3739,NB501259:25:HYMKWBGXX:1:23108:7340:10733,NB501259:25:HYMKWBGXX:2:11104:12435:2836,NB501259:25:HYMKWBGXX:2:12110:12049:1576,NB501259:25:HYMKWBGXX:2:13209:5866:4645,NB501259:25:HYMKWBGXX:2:22303:25886:11292,NB501259:25:HYMKWBGXX:3:12608:24401:17964,NB501259:25:HYMKWBGXX:3:23412:11487:7111,NB501259:25:HYMKWBGXX:4:11512:21998:18674,NB501259:25:HYMKWBGXX:4:21608:22472:15103,NB501259:25:HYMKWBGXX:4:22509:22268:17370,NB501259:25:HYMKWBGXX:4:22512:2654:11660,NB501259:25:HYMKWBGXX:4:22602:6087:5482,NB501259:25:HYMKWBGXX:2:22205:9970:13963,
1:110242499|110285411	1	110242499	110285411	1	1_1_0	112	0.018	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:22311:24393:17333,
