circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:20509797|20511739	1	20509797	20511739	1	1_1_0	16	0.111	exon	ENSRNOG00000013422,	-	NB501259:26:HYTWLBGXX:2:22307:1697:9010,
1:24914598|24914912	1	24914598	24914912	1	1_0_1	62	0.031	intron	ENSRNOG00000029608,	+	NB501259:26:HYTWLBGXX:3:12504:9236:6692,
1:26079313|26093015	1	26079313	26093015	2	1_1_0	4	0.500	exon	ENSRNOG00000013323,	+	NB501259:26:HYTWLBGXX:1:11206:5186:2465,NB501259:26:HYTWLBGXX:1:12309:19755:5165,
1:34688641|34750295	1	34688641	34750295	1	1_1_0	11	0.154	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:3:21402:14218:10515,
1:47637215|47637867	1	47637215	47637867	2	2_2_0	31	0.114	exon	ENSRNOG00000019048,	-	NB501259:26:HYTWLBGXX:3:21409:13769:19590,NB501259:26:HYTWLBGXX:4:12602:1397:2085,
1:62648752|62651946	1	62648752	62651946	3	1_1_0	13	0.316	exon	ENSRNOG00000061533,	-	NB501259:26:HYTWLBGXX:1:22207:23188:9633,NB501259:26:HYTWLBGXX:3:21406:1925:17336,NB501259:26:HYTWLBGXX:3:21502:7086:10398,
1:77122583|77123204	1	77122583	77123204	1	1_0_1	6	0.250	exon	ENSRNOG00000015229,	+	NB501259:26:HYTWLBGXX:1:12201:9424:3182,
1:83263661|83323372	1	83263661	83323372	1	1_1_0	1	0.667	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:21205:8691:13373,
1:86828273|86828459	1	86828273	86828459	2	0_1_1	126	0.031	exon	ENSRNOG00000023150,	+	NB501259:26:HYTWLBGXX:2:11111:19592:18093,NB501259:26:HYTWLBGXX:3:12510:22756:1866,
1:88267655|88277733	1	88267655	88277733	1	1_1_0	1	0.667	exon	ENSRNOG00000052814,	+	NB501259:26:HYTWLBGXX:2:11111:7150:2880,
1:95444100|95444973	1	95444100	95444973	1	1_1_0	2	0.500	exon	ENSRNOG00000026163,	-	NB501259:26:HYTWLBGXX:2:21207:25541:6743,
1:110121459|110139891	1	110121459	110139891	2	1_1_0	70	0.054	exon	ENSRNOG00000015734,	+	NB501259:26:HYTWLBGXX:3:12407:15286:14079,NB501259:26:HYTWLBGXX:4:13608:4476:8212,
1:110227747|110267119	1	110227747	110267119	4	1_4_0	24	0.250	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11107:15528:17166,NB501259:26:HYTWLBGXX:1:13309:8623:4014,NB501259:26:HYTWLBGXX:4:11505:9618:10064,NB501259:26:HYTWLBGXX:4:22406:19957:18996,
1:110237001|110238464	1	110237001	110238464	1	1_1_0	27	0.069	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11106:14453:14370,
1:110237001|110267119	1	110237001	110267119	17	14_9_5	23	0.596	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11102:9219:16729,NB501259:26:HYTWLBGXX:1:11104:18279:7989,NB501259:26:HYTWLBGXX:2:11112:8953:11729,NB501259:26:HYTWLBGXX:2:12107:22064:2487,NB501259:26:HYTWLBGXX:2:22112:18292:15139,NB501259:26:HYTWLBGXX:2:22304:10744:18509,NB501259:26:HYTWLBGXX:2:22311:23352:7997,NB501259:26:HYTWLBGXX:3:12502:21080:10716,NB501259:26:HYTWLBGXX:3:23409:17548:11371,NB501259:26:HYTWLBGXX:4:12401:2011:13821,NB501259:26:HYTWLBGXX:4:12403:22956:6782,NB501259:26:HYTWLBGXX:4:12507:13688:2622,NB501259:26:HYTWLBGXX:4:13403:9076:1357,NB501259:26:HYTWLBGXX:4:22605:7971:6789,NB501259:26:HYTWLBGXX:4:23502:3291:14957,NB501259:26:HYTWLBGXX:1:21104:6330:10999,NB501259:26:HYTWLBGXX:4:13412:6512:17569,
1:110238421|110240303	1	110238421	110240303	1	1_1_0	54	0.036	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11201:14549:11541,
1:110269328|110288827	1	110269328	110288827	1	1_1_0	12	0.143	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:11508:12821:12566,
1:111031986|111032255	1	111031986	111032255	1	1_1_0	3	0.400	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:23111:12737:3409,
1:111118174|111123599	1	111118174	111123599	1	1_1_0	122	0.016	exon	ENSRNOG00000054391,	-	NB501259:26:HYTWLBGXX:4:22610:9644:11762,
1:111921407|111986888	1	111921407	111986888	2	1_1_0	22	0.154	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:21508:11996:17399,NB501259:26:HYTWLBGXX:1:12103:12628:8906,
1:112079622|112129362	1	112079622	112129362	5	1_2_0	12	0.455	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:13105:23117:6206,NB501259:26:HYTWLBGXX:3:23609:11785:19874,NB501259:26:HYTWLBGXX:1:23211:7564:7638,NB501259:26:HYTWLBGXX:1:23303:3836:6773,NB501259:26:HYTWLBGXX:4:23410:11897:9502,
1:112597410|112673714	1	112597410	112673714	1	1_1_0	3	0.400	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:11410:24698:15344,
1:112946324|113101569	1	112946324	113101569	1	1_1_0	9	0.182	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13102:17137:13375,
1:115310759|115350591	1	115310759	115350591	1	1_1_0	32	0.059	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:11508:15472:8836,
1:115342783|115400003	1	115342783	115400003	2	1_1_0	9	0.308	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11301:7298:18106,NB501259:26:HYTWLBGXX:2:12212:3976:13249,
1:115536361|115577838	1	115536361	115577838	1	0_1_1	4	0.333	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:12303:4856:4237,
1:127268184|127268728	1	127268184	127268728	1	1_1_0	5	0.286	intron	ENSRNOG00000012716,	-	NB501259:26:HYTWLBGXX:3:21401:1763:17707,
1:153365873|153405932	1	153365873	153405932	2	2_2_0	17	0.190	exon	ENSRNOG00000016206,	-	NB501259:26:HYTWLBGXX:1:13201:23462:18925,NB501259:26:HYTWLBGXX:1:13312:14981:19234,
1:154979162|154987212	1	154979162	154987212	1	1_1_0	69	0.028	exon	ENSRNOG00000018176,	+	NB501259:26:HYTWLBGXX:2:12212:17771:12999,
1:156537152|156546569	1	156537152	156546569	2	1_1_0	29	0.121	exon	ENSRNOG00000020347,	-	NB501259:26:HYTWLBGXX:3:23604:20596:2190,NB501259:26:HYTWLBGXX:4:22512:21462:13047,
1:166196491|166217529	1	166196491	166217529	3	2_1_0	16	0.273	exon	ENSRNOG00000026754,	+	NB501259:26:HYTWLBGXX:2:13310:12715:7973,NB501259:26:HYTWLBGXX:2:12107:21479:13588,NB501259:26:HYTWLBGXX:3:13411:10318:5049,
1:170659833|170660961	1	170659833	170660961	2	1_1_0	17	0.190	exon	ENSRNOG00000020479,	-	NB501259:26:HYTWLBGXX:1:12305:23474:9384,NB501259:26:HYTWLBGXX:1:22111:20986:13654,
1:171926816|171927456	1	171926816	171927456	1	1_1_0	32	0.059	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:1:13102:25095:1711,
1:177523168|177525785	1	177523168	177525785	3	3_2_0	34	0.150	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:1:13310:8026:19845,NB501259:26:HYTWLBGXX:4:13508:3848:6622,NB501259:26:HYTWLBGXX:3:13604:12347:13598,
