circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:4223984|4233053	1	4223984	4233053	1	1_1_0	65	0.030	exon	ENSRNOG00000013351,	-	NB501259:26:HYTWLBGXX:2:21210:6507:4981,
1:7055938|7075133	1	7055938	7075133	1	1_1_0	12	0.143	exon	ENSRNOG00000011058,	-	NB501259:26:HYTWLBGXX:2:22312:20636:11651,
1:8204481|8207576	1	8204481	8207576	1	1_1_0	4	0.333	intron	ENSRNOG00000010753,	-	NB501259:26:HYTWLBGXX:4:23405:22539:10867,
1:14995746|14997567	1	14995746	14997567	1	1_1_0	2	0.500	intron	ENSRNOG00000012701,	-	NB501259:26:HYTWLBGXX:1:12211:14315:7863,
1:15863830|15886744	1	15863830	15886744	1	1_1_0	109	0.018	exon	ENSRNOG00000013969,	+	NB501259:26:HYTWLBGXX:3:21604:25070:15055,
1:20096535|20118523	1	20096535	20118523	1	1_0_1	0	1	exon	ENSRNOG00000013202,	+	NB501259:26:HYTWLBGXX:3:13511:5910:2508,
1:61370043|61394933	1	61370043	61394933	1	1_1_0	14	0.125	exon	ENSRNOG00000063577,	+	NB501259:26:HYTWLBGXX:3:22506:23803:20052,
1:62553297|62593724	1	62553297	62593724	2	1_2_0	4	0.500	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:13610:18475:18501,NB501259:26:HYTWLBGXX:2:11204:18688:15838,
1:62648752|62696188	1	62648752	62696188	2	2_2_0	22	0.154	intron	ENSRNOG00000061533,	-	NB501259:26:HYTWLBGXX:1:13311:8703:11257,NB501259:26:HYTWLBGXX:3:23611:11937:6963,
1:70065412|70066493	1	70065412	70066493	1	1_1_0	75	0.026	exon	ENSRNOG00000032699,	-	NB501259:26:HYTWLBGXX:1:21310:6824:5197,
1:76629404|76634229	1	76629404	76634229	2	2_1_0	15	0.211	exon	ENSRNOG00000013023,	-	NB501259:26:HYTWLBGXX:1:22303:19933:16103,NB501259:26:HYTWLBGXX:4:22512:10794:16070,
1:110121459|110139891	1	110121459	110139891	1	1_1_0	66	0.029	exon	ENSRNOG00000015734,	+	NB501259:26:HYTWLBGXX:2:23301:22551:5478,
1:110158605|110226028	1	110158605	110226028	2	2_2_0	54	0.069	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:12306:21138:7071,NB501259:26:HYTWLBGXX:2:13212:23027:2372,
1:110210514|110237120	1	110210514	110237120	4	0_3_2	71	0.101	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13403:25717:11720,NB501259:26:HYTWLBGXX:1:11307:4277:6600,NB501259:26:HYTWLBGXX:2:21208:5214:9609,NB501259:26:HYTWLBGXX:3:12606:1508:8515,
1:110210514|110240303	1	110210514	110240303	1	1_0_1	9	0.182	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:23609:20113:1578,
1:110237001|110267119	1	110237001	110267119	8	7_4_0	12	0.571	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13309:25290:15883,NB501259:26:HYTWLBGXX:2:22206:3575:3497,NB501259:26:HYTWLBGXX:4:23406:6439:17135,NB501259:26:HYTWLBGXX:1:13209:26295:14808,NB501259:26:HYTWLBGXX:2:23302:21223:8874,NB501259:26:HYTWLBGXX:3:22503:26138:2377,NB501259:26:HYTWLBGXX:3:22601:19610:8877,NB501259:26:HYTWLBGXX:4:22604:4814:19152,
1:110267076|110273118	1	110267076	110273118	1	0_1_1	14	0.125	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13607:20305:19901,
1:110267076|110294830	1	110267076	110294830	1	1_1_0	8	0.200	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13111:7312:4974,
1:110377047|110458572	1	110377047	110458572	2	2_2_0	73	0.052	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23305:4566:18717,NB501259:26:HYTWLBGXX:4:21405:9135:9878,
1:110377047|110465132	1	110377047	110465132	1	1_1_0	84	0.023	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:22306:13087:11919,
1:110452581|110458572	1	110452581	110458572	2	1_2_0	83	0.046	exon	ENSRNOG00000065457,	-	NB501259:26:HYTWLBGXX:2:12312:25618:11381,NB501259:26:HYTWLBGXX:1:23204:12481:16210,
1:110452581|110465132	1	110452581	110465132	1	1_1_0	94	0.021	exon	ENSRNOG00000065457,	-	NB501259:26:HYTWLBGXX:4:23411:20992:13142,
1:111158545|111238004	1	111158545	111238004	2	2_2_0	29	0.121	intron	ENSRNOG00000064120,	-	NB501259:26:HYTWLBGXX:1:12210:20371:10522,NB501259:26:HYTWLBGXX:1:21212:15997:10644,
1:111208419|111237460	1	111208419	111237460	5	1_5_0	27	0.270	intron	ENSRNOG00000064120,	-	NB501259:26:HYTWLBGXX:1:12211:20950:7300,NB501259:26:HYTWLBGXX:1:11312:11680:17229,NB501259:26:HYTWLBGXX:1:22106:21403:11295,NB501259:26:HYTWLBGXX:3:21607:10177:11903,NB501259:26:HYTWLBGXX:4:13609:5103:15818,
1:111946873|111986888	1	111946873	111986888	3	1_3_0	13	0.316	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:13308:21289:3626,NB501259:26:HYTWLBGXX:2:12212:17691:3192,NB501259:26:HYTWLBGXX:2:23206:25447:11470,
1:112107150|112196728	1	112107150	112196728	1	1_1_0	11	0.154	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13209:4097:2175,
1:112480287|112532699	1	112480287	112532699	2	1_1_0	7	0.364	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:12310:4650:4791,NB501259:26:HYTWLBGXX:2:22308:19888:19802,
