circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:2217784|2222921	1	2217784	2222921	2	2_2_0	5	0.444	exon	ENSRNOG00000014996,	+	NB501259:26:HYTWLBGXX:2:22201:6947:14741,NB501259:26:HYTWLBGXX:4:13607:22769:7051,
1:15202475|15215047	1	15202475	15215047	1	1_1_0	18	0.100	intron	ENSRNOG00000013436,	-	NB501259:26:HYTWLBGXX:4:23411:19559:19415,
1:20096535|20118523	1	20096535	20118523	3	1_1_0	3	0.667	exon	ENSRNOG00000013202,	+	NB501259:26:HYTWLBGXX:1:12108:6940:11582,NB501259:26:HYTWLBGXX:2:11309:15177:8809,NB501259:26:HYTWLBGXX:4:13603:16991:13579,
1:26953199|26962700	1	26953199	26962700	2	1_2_1	5	0.444	exon	ENSRNOG00000014004,	+	NB501259:26:HYTWLBGXX:1:21102:20967:2290,NB501259:26:HYTWLBGXX:3:13608:8075:14493,
1:26955645|26962700	1	26955645	26962700	1	1_1_0	5	0.286	exon	ENSRNOG00000014004,	+	NB501259:26:HYTWLBGXX:1:11112:19146:2158,
1:46810665|46811904	1	46810665	46811904	1	1_1_0	55	0.035	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:12511:10243:12232,
1:55921773|55927170	1	55921773	55927170	2	1_1_0	4	0.500	exon	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:2:13311:16973:13053,NB501259:26:HYTWLBGXX:3:12507:2017:5373,
1:58275505|58284920	1	58275505	58284920	2	2_2_0	41	0.089	exon	ENSRNOG00000055229,	-	NB501259:26:HYTWLBGXX:1:13208:12633:1625,NB501259:26:HYTWLBGXX:4:22505:24344:18761,
1:83076376|83169966	1	83076376	83169966	2	2_1_0	13	0.235	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:3:22608:20449:19150,NB501259:26:HYTWLBGXX:3:21405:15140:7805,
1:88384760|88391526	1	88384760	88391526	1	1_1_0	48	0.040	exon	ENSRNOG00000021573,	-	NB501259:26:HYTWLBGXX:3:22412:24571:6589,
1:95444100|95444973	1	95444100	95444973	1	1_1_0	14	0.125	exon	ENSRNOG00000026163,	-	NB501259:26:HYTWLBGXX:3:11408:11745:16591,
1:97016322|97101949	1	97016322	97101949	2	1_1_0	7	0.364	exon	ENSRNOG00000011488,	-	NB501259:26:HYTWLBGXX:3:22410:10619:6444,NB501259:26:HYTWLBGXX:4:13509:3510:16230,
1:107683070|107868414	1	107683070	107868414	1	1_1_0	22	0.083	exon	ENSRNOG00000014862,	-	NB501259:26:HYTWLBGXX:3:13606:9928:17573,
1:110123130|110139891	1	110123130	110139891	1	1_1_0	142	0.014	exon	ENSRNOG00000015734,	+	NB501259:26:HYTWLBGXX:2:22306:15323:19650,
1:110210931|110267119	1	110210931	110267119	3	1_2_1	19	0.240	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:11101:14349:4416,NB501259:26:HYTWLBGXX:2:11210:5641:5460,NB501259:26:HYTWLBGXX:4:23402:17771:16152,
1:110237001|110267119	1	110237001	110267119	6	6_3_1	29	0.293	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:22309:9596:1426,NB501259:26:HYTWLBGXX:3:21401:22081:7179,NB501259:26:HYTWLBGXX:4:23412:22479:10666,NB501259:26:HYTWLBGXX:4:23607:2219:18694,NB501259:26:HYTWLBGXX:1:23307:5752:14303,NB501259:26:HYTWLBGXX:2:13105:16251:9393,
1:110288784|110309211	1	110288784	110309211	1	0_1_1	18	0.100	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:13309:3194:8340,
1:110402469|110458572	1	110402469	110458572	2	1_1_0	82	0.047	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13308:17828:9250,NB501259:26:HYTWLBGXX:3:12408:15361:14511,
1:110452581|110467617	1	110452581	110467617	1	1_1_0	89	0.022	exon	ENSRNOG00000065457,	-	NB501259:26:HYTWLBGXX:1:22211:9363:2782,
