circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:41712832|41736254	1	41712832	41736254	9	4_4_0	15	0.545	exon	ENSRNOG00000018960,	-	NB501259:26:HYTWLBGXX:1:13203:20420:14209,NB501259:26:HYTWLBGXX:1:21210:17752:5411,NB501259:26:HYTWLBGXX:3:21506:24044:18014,NB501259:26:HYTWLBGXX:3:23412:24855:8208,NB501259:26:HYTWLBGXX:4:13407:18253:9285,NB501259:26:HYTWLBGXX:4:21503:10664:19968,NB501259:26:HYTWLBGXX:4:22506:12889:10840,NB501259:26:HYTWLBGXX:4:22512:23727:8389,NB501259:26:HYTWLBGXX:4:22609:20094:18818,
1:58275505|58284920	1	58275505	58284920	18	4_5_0	14	0.720	exon	ENSRNOG00000055229,	-	NB501259:26:HYTWLBGXX:1:11306:22056:19237,NB501259:26:HYTWLBGXX:1:12106:11611:11131,NB501259:26:HYTWLBGXX:1:23110:14722:11116,NB501259:26:HYTWLBGXX:2:11308:11989:17635,NB501259:26:HYTWLBGXX:2:13307:17629:11268,NB501259:26:HYTWLBGXX:2:21202:8118:19641,NB501259:26:HYTWLBGXX:2:22206:14489:8353,NB501259:26:HYTWLBGXX:2:23207:20838:4650,NB501259:26:HYTWLBGXX:2:23208:18912:4735,NB501259:26:HYTWLBGXX:3:22401:5507:5367,NB501259:26:HYTWLBGXX:3:22605:16643:17154,NB501259:26:HYTWLBGXX:4:12401:7437:5052,NB501259:26:HYTWLBGXX:4:12512:12799:8097,NB501259:26:HYTWLBGXX:4:13403:24060:14110,NB501259:26:HYTWLBGXX:4:21408:24443:1754,NB501259:26:HYTWLBGXX:4:23408:11500:4136,NB501259:26:HYTWLBGXX:4:23511:7226:8068,NB501259:26:HYTWLBGXX:2:11102:18306:3839,
1:62891337|62946581	1	62891337	62946581	7	2_3_0	28	0.333	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21102:2537:6489,NB501259:26:HYTWLBGXX:2:12110:12470:14189,NB501259:26:HYTWLBGXX:3:13408:19513:6449,NB501259:26:HYTWLBGXX:3:13601:2280:9912,NB501259:26:HYTWLBGXX:4:12602:22087:15010,NB501259:26:HYTWLBGXX:4:22506:11519:8128,NB501259:26:HYTWLBGXX:2:21208:9752:6326,
1:70177175|70184913	1	70177175	70184913	2	2_2_0	10	0.286	exon	ENSRNOG00000027733,	+	NB501259:26:HYTWLBGXX:2:11102:19850:6836,NB501259:26:HYTWLBGXX:3:13512:19142:13451,
1:99173034|99202822	1	99173034	99202822	12	7_9_0	0	1	exon	ENSRNOG00000014530,	+	NB501259:26:HYTWLBGXX:1:21301:17197:13941,NB501259:26:HYTWLBGXX:1:22101:18051:9510,NB501259:26:HYTWLBGXX:2:12101:22030:14438,NB501259:26:HYTWLBGXX:2:21204:14686:17096,NB501259:26:HYTWLBGXX:2:23111:18187:2582,NB501259:26:HYTWLBGXX:3:13412:11772:5792,NB501259:26:HYTWLBGXX:3:21506:9032:17296,NB501259:26:HYTWLBGXX:4:11412:11849:17487,NB501259:26:HYTWLBGXX:4:13405:25812:8321,NB501259:26:HYTWLBGXX:4:23411:24649:7345,NB501259:26:HYTWLBGXX:3:23503:22119:18640,NB501259:26:HYTWLBGXX:4:23604:19058:12043,
1:110237001|110267119	1	110237001	110267119	5	4_4_0	8	0.556	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:11104:19049:17860,NB501259:26:HYTWLBGXX:1:11111:6455:15413,NB501259:26:HYTWLBGXX:1:22206:11179:18442,NB501259:26:HYTWLBGXX:2:23312:23872:1202,NB501259:26:HYTWLBGXX:3:21508:13333:17997,
1:112151521|112159627	1	112151521	112159627	16	6_3_0	20	0.615	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:21102:25285:12008,NB501259:26:HYTWLBGXX:1:21208:1479:16471,NB501259:26:HYTWLBGXX:1:21209:26869:16469,NB501259:26:HYTWLBGXX:2:11102:7730:1146,NB501259:26:HYTWLBGXX:2:12111:9872:3001,NB501259:26:HYTWLBGXX:2:12308:17708:1627,NB501259:26:HYTWLBGXX:2:22201:16794:19243,NB501259:26:HYTWLBGXX:2:23205:20185:19740,NB501259:26:HYTWLBGXX:3:11604:15546:15322,NB501259:26:HYTWLBGXX:3:23609:3700:3716,NB501259:26:HYTWLBGXX:4:21506:2057:20189,NB501259:26:HYTWLBGXX:4:22602:13543:16363,NB501259:26:HYTWLBGXX:4:23604:1751:13804,NB501259:26:HYTWLBGXX:1:11106:6870:2446,NB501259:26:HYTWLBGXX:1:23210:9789:1989,NB501259:26:HYTWLBGXX:2:22204:26741:20119,
1:112946324|113101569	1	112946324	113101569	7	1_1_0	2	0.875	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:12102:15411:16754,NB501259:26:HYTWLBGXX:2:13112:12489:2218,NB501259:26:HYTWLBGXX:2:23102:19200:11176,NB501259:26:HYTWLBGXX:1:13204:15597:10551,NB501259:26:HYTWLBGXX:1:22104:14920:3627,NB501259:26:HYTWLBGXX:1:22212:7155:18602,NB501259:26:HYTWLBGXX:3:21509:22288:4378,
1:170659833|170660961	1	170659833	170660961	6	2_3_0	23	0.343	exon	ENSRNOG00000020479,	-	NB501259:26:HYTWLBGXX:1:12106:20481:13597,NB501259:26:HYTWLBGXX:1:12301:17731:11750,NB501259:26:HYTWLBGXX:1:23309:12669:13495,NB501259:26:HYTWLBGXX:2:12310:5084:18865,NB501259:26:HYTWLBGXX:2:22306:11324:8768,NB501259:26:HYTWLBGXX:1:11101:11441:6960,
1:177523168|177525785	1	177523168	177525785	4	1_2_0	31	0.205	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:1:12206:6587:6363,NB501259:26:HYTWLBGXX:1:13105:20332:14480,NB501259:26:HYTWLBGXX:1:13108:5664:15268,NB501259:26:HYTWLBGXX:3:22404:4515:1508,
