circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:2277718|2282190	1	2277718	2282190	2	1_1_0	32	0.111	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:2:21210:1359:4449,NB501259:25:HYMKWBGXX:2:21211:26734:4439,
1:2288681|2297641	1	2288681	2297641	2	2_2_0	26	0.133	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:4:22609:3059:4871,NB501259:25:HYMKWBGXX:4:23401:18150:15090,
1:12738367|12744792	1	12738367	12744792	1	1_1_0	11	0.154	exon	ENSRNOG00000059224,	+	NB501259:25:HYMKWBGXX:2:23210:21504:10279,
1:14933736|14937051	1	14933736	14937051	1	1_1_0	8	0.200	intron	ENSRNOG00000012701,	-	NB501259:25:HYMKWBGXX:2:22211:6734:1727,
1:20938470|20949526	1	20938470	20949526	2	2_1_0	0	1	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:23508:8374:5701,NB501259:25:HYMKWBGXX:1:22307:1505:5763,
1:24879753|24883078	1	24879753	24883078	1	1_1_0	6	0.250	intron	ENSRNOG00000029608,	-	NB501259:25:HYMKWBGXX:4:23611:5661:1308,
1:26880540|26927283	1	26880540	26927283	1	1_1_0	13	0.133	exon	ENSRNOG00000014004,	+	NB501259:25:HYMKWBGXX:3:23408:6415:11109,
1:41764036|41766990	1	41764036	41766990	1	1_1_0	53	0.036	exon	ENSRNOG00000018960,	-	NB501259:25:HYMKWBGXX:4:13511:6528:4487,
1:65843583|65852371	1	65843583	65852371	3	3_2_0	17	0.261	exon	ENSRNOG00000054371,	-	NB501259:25:HYMKWBGXX:2:13203:18110:12321,NB501259:25:HYMKWBGXX:4:22410:13598:3683,NB501259:25:HYMKWBGXX:2:13209:3863:15774,
1:67633900|67645216	1	67633900	67645216	1	1_1_0	0	1	intron	ENSRNOG00000064702,	+	NB501259:25:HYMKWBGXX:3:13412:6773:3211,
1:83025140|83126173	1	83025140	83126173	1	1_1_0	1	0.667	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:3:22510:12775:4614,
1:85118334|85118613	1	85118334	85118613	2	2_2_0	2	0.667	exon	ENSRNOG00000070848,	-	NB501259:25:HYMKWBGXX:2:21202:13282:17846,NB501259:25:HYMKWBGXX:3:22512:5620:17583,
1:108637610|108699044	1	108637610	108699044	1	1_1_0	247	0.008	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:4:12503:13609:6620,
1:110083930|110139891	1	110083930	110139891	1	1_1_0	56	0.034	exon	ENSRNOG00000015734,	+	NB501259:25:HYMKWBGXX:3:23603:9937:18287,
1:110187964|110268955	1	110187964	110268955	1	1_1_0	20	0.091	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:23610:14688:17378,
1:110194042|110294337	1	110194042	110294337	1	1_1_0	7	0.222	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:13206:19114:12334,
1:110197577|110251329	1	110197577	110251329	2	1_2_0	20	0.167	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:11206:14293:3460,NB501259:25:HYMKWBGXX:4:13506:11617:2278,
1:110210514|110237120	1	110210514	110237120	3	2_1_1	139	0.041	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:22101:16663:13350,NB501259:25:HYMKWBGXX:2:11112:24027:15431,NB501259:25:HYMKWBGXX:3:22507:24603:6252,
1:110224070|110255258	1	110224070	110255258	1	1_1_0	19	0.095	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:22202:9705:1223,
1:110225909|110251329	1	110225909	110251329	1	1_1_0	14	0.125	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:11401:18837:11740,
1:110236584|110269447	1	110236584	110269447	3	3_3_0	25	0.194	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:11508:8163:15311,NB501259:25:HYMKWBGXX:3:12609:21880:19787,NB501259:25:HYMKWBGXX:4:12604:7695:19037,
